,oci,street,street_from,street_to,oci_desc,COLLISION_DATE,COLLISION_TIME,PRIMARY_RD,SECONDARY_RD,CHP_BEAT_TYPE,WEATHER_1,COLLISION_SEVERITY,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,LIGHTING,ROAD_SURFACE,ROAD_COND_1
5382,62.9,THERMAL AV,GROVE AV,HALO ST,Fair,20140729,1526,THERMAL AV,HALO ST,0,A,3,A,11,A,A,H
5383,41.79,UNIVERSITY AV,CHOLLAS PY,58TH ST,Fair,20140731,0855,UNIVERSITY AV,58TH ST,0,A,3,A,08,A,A,H
5384,73.44,W MARKET ST,COLUMBIA ST,MARKET PL,Good,20140722,1635,MARKET ST,MARKET ST 4400,0,A,3,A,12,A,A,H
5385,51,CORONADO AV,CHATSWORTH BL,CATALINA BL,Fair,20140729,1642,CORONADO AV,SATURN BL,0,A,4,A,04,A,A,H
5386,51.68,BEYER BL,DAIRY MART RD,PRECISION PARK LN,Fair,20140805,1107,BEYER BL,DAIRY MAI-RD,0,A,4,A,12,A,A,H
5387,45.87,EL CAJON BL,TEXAS ST,ARIZONA ST,Fair,20140806,1440,EL CAJON BL,TEXAS ST,0,A,4,A,11,A,A,D
5388,56.57,POMERADO RD,PASEO DEL VERANO NOR,BERNARDO TRAILS DR,Fair,20140806,1645,POMERADO RD,BERNARDO TRAILS CT,0,A,4,A,09,A,A,H
5389,100,CANON ST,ROSECRANS ST,LOCUST ST,Good,20140805,1800,CANON ST,ROSECRANS ST,0,A,4,A,08,A,A,H
5390,83.23,LA JOLLA SCENIC S DR,RUTGERS RD,LA JOLLA RANCHO RD,Good,20140806,1920,LA JOLLA SCENIC,RUTGERS RD,0,B,3,C,18,A,A,B
5391,44.88,WEST MISSION BAY DR,MISSION BL,BAYSIDE LN,Fair,20140807,1852,WEST MISSION BAY DR,MISSION BL,0,B,4,A,- ,A,A,H
5392,39,MAIN ST,S 32ND ST,BRYANT ST,Poor,20140806,1322,MAIN ST,BRYANT ST,0,A,4,A,09,A,A,H
5393,82.14,TAYLOR ST,MORENA BL,PRESIDIO DR,Good,20140801,1949,TAYLOR ST,MORENA BL,0,A,3,A,- ,A,A,H
5394,77.39,THORN ST,NILE ST,VANCOUVER AV,Good,20140806,1500,THORN ST,NILE ST,0,A,4,A,21,A,A,H
5395,100,OCEAN VIEW BL,S 38TH ST,S 39TH ST,Good,20140806,1646,OCEANVIEW BL,SOUTH 38TH ST,0,A,4,A,- ,A,A,H
